time,wx,wy,wz
2024-10-11T10:32:05.343Z,-0.2219,0.5255,0.1305
2024-10-11T10:32:05.352Z,-0.0962,0.6496,0.0689
2024-10-11T10:32:05.361Z,0.0617,0.5467,0.0528
2024-10-11T10:32:05.372Z,0.2386,0.3854,0.0484
2024-10-11T10:32:05.382Z,0.3797,0.1329,0.0382
2024-10-11T10:32:05.391Z,0.4486,-0.1290,0.0234
2024-10-11T10:32:05.402Z,0.4377,-0.2880,0.0310
2024-10-11T10:32:05.411Z,0.3608,-0.2701,0.0732
2024-10-11T10:32:05.422Z,0.2236,-0.1138,0.1460
2024-10-11T10:32:05.432Z,0.0517,0.0729,0.2342
2024-10-11T10:32:05.442Z,-0.1246,0.2677,0.3177
2024-10-11T10:32:05.452Z,-0.2664,0.4351,0.3789
2024-10-11T10:32:05.461Z,-0.3697,0.5728,0.4123
2024-10-11T10:32:05.472Z,-0.4275,0.6831,0.4181
2024-10-11T10:32:05.482Z,-0.4368,0.7337,0.3986
2024-10-11T10:32:05.492Z,-0.4011,0.7048,0.3441
2024-10-11T10:32:05.502Z,-0.3351,0.6336,0.2819
2024-10-11T10:32:05.512Z,-0.2460,0.5485,0.2140
2024-10-11T10:32:05.521Z,-0.1307,0.4632,0.1520
2024-10-11T10:32:05.532Z,-0.0042,0.3816,0.0996
2024-10-11T10:32:05.541Z,0.1236,0.2886,0.0557
2024-10-11T10:32:05.551Z,0.1236,0.2886,0.0557
2024-10-11T10:32:05.562Z,0.3109,0.0839,-0.0032
2024-10-11T10:32:05.572Z,0.3662,-0.0191,-0.0300
2024-10-11T10:32:05.583Z,0.3614,-0.1210,-0.0480
2024-10-11T10:32:05.592Z,0.2923,-0.2098,-0.0493
2024-10-11T10:32:05.602Z,0.1661,-0.2857,-0.0236
2024-10-11T10:32:05.611Z,0.0198,-0.3026,0.0143
2024-10-11T10:32:05.621Z,-0.1022,-0.2491,0.0568
2024-10-11T10:32:05.633Z,-0.1929,-0.1638,0.0956
2024-10-11T10:32:05.642Z,-0.2416,-0.1033,0.1337
2024-10-11T10:32:05.652Z,-0.2548,-0.0894,0.1613
2024-10-11T10:32:05.662Z,-0.2124,-0.0445,0.1694
2024-10-11T10:32:05.671Z,-0.0963,0.0295,0.0945
2024-10-11T10:32:05.682Z,0.0068,-0.0424,0.0028
2024-10-11T10:32:05.692Z,0.0185,-0.1949,-0.0913
2024-10-11T10:32:05.702Z,0.0270,-0.3655,-0.1231
2024-10-11T10:32:05.711Z,0.1385,-0.3105,-0.1042
2024-10-11T10:32:05.722Z,0.2790,-0.1351,-0.0893
2024-10-11T10:32:05.732Z,0.3348,-0.0972,-0.0897
2024-10-11T10:32:05.742Z,0.3177,-0.1228,-0.0657
2024-10-11T10:32:05.751Z,0.3143,-0.0480,-0.0279
2024-10-11T10:32:05.761Z,0.2873,0.0584,0.0062
2024-10-11T10:32:05.772Z,0.2162,0.1477,0.0300
2024-10-11T10:32:05.783Z,0.1278,0.2088,0.0517
2024-10-11T10:32:05.792Z,0.0540,0.2378,0.0665
2024-10-11T10:32:05.802Z,-0.0047,0.2541,0.0786
2024-10-11T10:32:05.811Z,-0.0447,0.2938,0.0899
2024-10-11T10:32:05.822Z,-0.0458,0.3084,0.0993
2024-10-11T10:32:05.833Z,-0.0240,0.2840,0.1099
2024-10-11T10:32:05.842Z,0.0098,0.2640,0.1134
2024-10-11T10:32:05.851Z,0.0439,0.2440,0.1090
2024-10-11T10:32:05.861Z,0.0855,0.2232,0.0897
2024-10-11T10:32:05.872Z,0.1197,0.1976,0.0543
2024-10-11T10:32:05.882Z,0.1514,0.1711,0.0195
2024-10-11T10:32:05.892Z,0.1749,0.1346,-0.0041
2024-10-11T10:32:05.902Z,0.1967,0.1052,-0.0148
2024-10-11T10:32:05.911Z,0.2096,0.1033,-0.0210
2024-10-11T10:32:05.921Z,0.2166,0.1196,-0.0217
2024-10-11T10:32:05.932Z,0.2110,0.1385,-0.0221
2024-10-11T10:32:05.942Z,0.2022,0.1408,-0.0183
2024-10-11T10:32:05.951Z,0.1909,0.1266,0.0015
2024-10-11T10:32:05.961Z,0.1806,0.1157,0.0284
2024-10-11T10:32:05.972Z,0.1772,0.1357,0.0715
2024-10-11T10:32:05.982Z,0.1771,0.1740,0.1123
2024-10-11T10:32:05.992Z,0.1786,0.2107,0.1432
2024-10-11T10:32:06.001Z,0.1777,0.2289,0.1459
2024-10-11T10:32:06.011Z,0.1645,0.2341,0.1298
2024-10-11T10:32:06.022Z,0.1564,0.2100,0.1050
2024-10-11T10:32:06.033Z,0.1498,0.1503,0.0840
2024-10-11T10:32:06.042Z,0.1534,0.0759,0.0634
2024-10-11T10:32:06.052Z,0.1546,0.0083,0.0373
2024-10-11T10:32:06.061Z,0.1627,-0.0419,0.0225
2024-10-11T10:32:06.072Z,0.1568,-0.0644,0.0234
2024-10-11T10:32:06.082Z,0.1407,-0.0828,0.0248
2024-10-11T10:32:06.092Z,0.1099,-0.1089,0.0199
2024-10-11T10:32:06.101Z,0.0672,-0.1331,0.0075
2024-10-11T10:32:06.111Z,0.0203,-0.1651,-0.0178
2024-10-11T10:32:06.122Z,-0.0258,-0.2038,-0.0605
2024-10-11T10:32:06.132Z,-0.0592,-0.2521,-0.1196
2024-10-11T10:32:06.142Z,-0.0752,-0.3189,-0.1812
2024-10-11T10:32:06.151Z,-0.0704,-0.4040,-0.2268
2024-10-11T10:32:06.161Z,-0.0422,-0.4936,-0.2504
2024-10-11T10:32:06.172Z,0.0023,-0.5619,-0.2602
2024-10-11T10:32:06.182Z,0.0500,-0.6036,-0.2670
2024-10-11T10:32:06.192Z,0.1036,-0.6233,-0.2747
2024-10-11T10:32:06.202Z,0.1543,-0.6321,-0.2914
2024-10-11T10:32:06.211Z,0.2049,-0.6335,-0.3119
2024-10-11T10:32:06.222Z,0.2458,-0.6144,-0.3347
2024-10-11T10:32:06.232Z,0.2686,-0.5619,-0.3473
2024-10-11T10:32:06.242Z,0.2755,-0.5066,-0.3430
2024-10-11T10:32:06.252Z,0.2740,-0.4640,-0.3236
2024-10-11T10:32:06.262Z,0.2501,-0.4228,-0.3023
2024-10-11T10:32:06.272Z,0.2034,-0.3655,-0.2792
2024-10-11T10:32:06.283Z,0.1317,-0.2670,-0.2572
2024-10-11T10:32:06.292Z,0.0532,-0.1443,-0.2203
2024-10-11T10:32:06.302Z,-0.0276,-0.0188,-0.1688
2024-10-11T10:32:06.311Z,-0.1162,0.1115,-0.1080
2024-10-11T10:32:06.322Z,-0.1943,0.2355,-0.0436
2024-10-11T10:32:06.332Z,-0.2717,0.3221,0.0196
2024-10-11T10:32:06.342Z,-0.3492,0.3820,0.0815
2024-10-11T10:32:06.352Z,-0.4277,0.4429,0.1419
2024-10-11T10:32:06.361Z,-0.2690,0.8337,0.1726
2024-10-11T10:32:06.372Z,-0.0825,0.8171,0.1021
2024-10-11T10:32:06.382Z,0.1032,0.4762,0.0161
2024-10-11T10:32:06.392Z,0.2321,-0.0337,-0.0286
2024-10-11T10:32:06.402Z,0.2903,-0.3656,-0.0740
2024-10-11T10:32:06.411Z,0.2136,-0.4784,-0.1137
2024-10-11T10:32:06.421Z,0.0389,-0.3915,-0.1244
2024-10-11T10:32:06.432Z,-0.1956,-0.1492,-0.0556
2024-10-11T10:32:06.442Z,-0.3915,0.2921,0.0394
