time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,yaw,pitch,roll
2024-10-11T13:00:36.081Z,0.0118,-0.9838,0.1674,-0.1312,-0.0184,-0.0038,0.0314,-0.1265,0.0070,-2.5619,1.4042,-3.1133
2024-10-11T13:00:36.089Z,0.0073,-0.9859,0.1670,-0.1295,0.0087,-0.0043,0.0110,-0.0753,0.0066,-2.5629,1.4036,-3.1157
2024-10-11T13:00:36.099Z,0.0104,-0.9865,0.1664,-0.1295,0.0087,-0.0043,0.0088,-0.0756,0.0039,-2.5629,1.4036,-3.1157
2024-10-11T13:00:36.109Z,0.0118,-0.9846,0.1674,-0.1295,0.0087,-0.0043,0.0069,-0.0794,0.0067,-2.5629,1.4036,-3.1157
2024-10-11T13:00:36.118Z,0.0137,-0.9841,0.1674,-0.1847,-0.0020,-0.0137,0.0109,-0.0868,0.0087,-2.5641,1.4033,-3.1172
2024-10-11T13:00:36.129Z,0.0159,-0.9858,0.1685,-0.1847,-0.0020,-0.0137,0.0106,-0.0875,0.0098,-2.5641,1.4033,-3.1172
2024-10-11T13:00:36.138Z,0.0149,-0.9861,0.1660,-0.1847,-0.0020,-0.0137,0.0093,-0.0897,0.0105,-2.5641,1.4033,-3.1172
2024-10-11T13:00:36.149Z,0.0138,-0.9887,0.1657,-0.1699,0.0187,-0.0075,0.0129,-0.0962,0.0097,-2.5659,1.4030,-3.1184
2024-10-11T13:00:36.159Z,0.0128,-0.9879,0.1689,-0.1699,0.0187,-0.0075,0.0119,-0.1048,0.0111,-2.5659,1.4030,-3.1184
2024-10-11T13:00:36.169Z,0.0103,-0.9861,0.1712,-0.1699,0.0187,-0.0075,0.0155,-0.1117,0.0123,-2.5659,1.4030,-3.1184
2024-10-11T13:00:36.179Z,0.0123,-0.9845,0.1707,-0.1604,-0.0248,-0.0378,0.0118,-0.1197,0.0121,-2.5680,1.4027,-3.1199
2024-10-11T13:00:36.188Z,0.0117,-0.9819,0.1724,-0.1604,-0.0248,-0.0378,0.0156,-0.1232,0.0133,-2.5680,1.4027,-3.1199
2024-10-11T13:00:36.199Z,0.0124,-0.9833,0.1734,-0.1604,-0.0248,-0.0378,0.0123,-0.1230,0.0114,-2.5680,1.4027,-3.1199
2024-10-11T13:00:36.209Z,0.0119,-0.9862,0.1696,-0.1561,-0.0012,-0.0262,0.0130,-0.1173,0.0135,-2.5702,1.4022,-3.1216
2024-10-11T13:00:36.219Z,0.0127,-0.9862,0.1726,-0.1561,-0.0012,-0.0262,0.0093,-0.1200,0.0141,-2.5702,1.4022,-3.1216
2024-10-11T13:00:36.229Z,0.0142,-0.9872,0.1711,-0.1561,-0.0012,-0.0262,0.0113,-0.1304,0.0154,-2.5702,1.4022,-3.1216
