session_id,n_samples,has_all_columns,median_dt_s,wallclock_duration_s,nominal_duration_s,n_gaps_gt_1s,total_gap_s,max_gap_s,usable
multi_1728642680.567175,99,False,0.01,0.976,0.99,0,0.0,0.0,False
multi_1728642726.45055,111,False,0.01,1.099,1.11,0,0.0,0.0,False
multi_1728642743.331891,243,False,0.01,2.42,2.43,0,0.0,0.0,False
multi_1728648021.001131,3390,True,0.01,99.041,33.9,1,64.068,64.068,True
multi_1728648264.0338469,3206,True,0.01,115.908,32.06,1,82.84,82.84,True
multi_1728648542.4759622,3367,True,0.01,132.704,33.67,1,98.109,98.109,True
multi_1728648795.166475,3301,True,0.01,139.355,33.01,1,105.364,105.364,True
multi_1728649101.779892,3398,True,0.01,168.146,33.98,1,133.212,133.212,True
multi_1728649266.1441631,3334,True,0.01,151.676,33.34,1,117.429,117.429,True
multi_1728649548.4170341,3297,True,0.01,140.539,32.97,1,106.664,106.664,True
multi_1728649824.554737,3324,True,0.01,177.066,33.24,1,142.927,142.927,True
multi_1728650072.4056401,3197,True,0.01,152.558,31.97,1,119.629,119.629,True
multi_1728650309.359189,3371,True,0.01,145.065,33.71,1,110.362,110.362,True
multi_1728650562.593113,3254,True,0.01,127.439,32.54,1,94.011,94.011,True
multi_1728650842.0023441,3398,True,0.01,146.283,33.98,1,111.302,111.302,True
multi_1728651097.07392,3281,True,0.01,163.328,32.81,1,129.497,129.497,True
multi_1728651323.66079,3310,True,0.01,144.034,33.1,1,109.488,109.488,True
multi_1728651547.954052,3183,True,0.01,134.642,31.83,1,101.893,101.893,True
multi_1728651785.537397,3255,True,0.01,149.448,32.55,1,115.974,115.974,True
multi_1728652544.508274,3228,True,0.01,144.514,32.28,1,111.237,111.237,True
multi_1728652786.1821132,216,True,0.01,2.148,2.16,0,0.0,0.0,False
multi_1728653344.048434,3277,True,0.01,152.028,32.77,1,118.311,118.311,True
multi_1728653633.169157,3306,True,0.01,137.431,33.06,2,103.336,99.664,True
multi_1728653943.542037,3226,True,0.01,213.249,32.26,1,179.994,179.994,True
multi_1728654157.5263371,3262,True,0.01,146.936,32.62,1,113.271,113.271,True
multi_1728654410.9892302,3268,True,0.01,151.372,32.68,1,117.706,117.706,True
multi_1728654671.250972,3233,True,0.01,162.013,32.33,1,128.674,128.674,True
multi_1728655083.039422,3216,True,0.01,274.356,32.16,1,241.174,241.174,True
multi_1728655405.080202,3250,True,0.01,218.522,32.5,1,185.067,185.067,True
multi_1728655635.687125,3221,True,0.01,124.434,32.21,1,91.205,91.205,True
multi_1728655810.846621,3314,True,0.01,80.822,33.14,1,46.78,46.78,True
multi_1728655879.570096,3299,True,0.01,61.18,32.99,1,26.726,26.726,True
multi_1728656047.610746,3221,True,0.01,67.997,32.21,1,34.803,34.803,True
multi_1728656335.2319689,3201,True,0.01,146.147,32.01,1,113.055,113.055,True
multi_1728656537.97135,3214,True,0.01,127.042,32.14,1,93.975,93.975,True
multi_1728656747.8763719,3238,True,0.01,139.944,32.38,1,106.627,106.627,True
