item,n,n_valid,n_missing,mean,sd,median,mad,trimmed_mean_10,q1,q3,iqr,min,max,skewness,kurtosis
1. Isolation and loneliness,46.0,44.0,2.0,1.6363636363636365,1.511058601527944,1.5,2.223903327758403,1.5277777777777777,0.0,3.0,3.0,0.0,5.0,0.390167797136396,-1.0803292181069961
10. Feeling of isolation from people and things,46.0,44.0,2.0,1.2727272727272727,1.6046971222391537,1.0,1.482602218505602,1.0555555555555556,0.0,2.0,2.0,0.0,5.0,1.01627867892636,-0.3242252905918601
24. I felt isolated from everything and everyone,46.0,44.0,2.0,1.0681818181818181,1.4042746579677958,0.5,0.741301109252801,0.8333333333333334,0.0,2.0,2.0,0.0,5.0,1.2032561371166923,0.35344787394522426
3. Feeling my heart beating,46.0,44.0,2.0,0.8636363636363636,1.286620037348789,0.0,0.0,0.6388888888888888,0.0,1.25,1.25,0.0,5.0,1.449474239309438,1.3039444517843268
14. Anxiousness,46.0,43.0,3.0,0.6511627906976745,1.2513558538114635,0.0,0.0,0.34285714285714286,0.0,1.0,1.0,0.0,5.0,2.08581616360917,3.512279708471958
15. I felt shaky inside,46.0,44.0,2.0,0.5227272727272727,1.1711381139855361,0.0,0.0,0.2222222222222222,0.0,0.25,0.25,0.0,5.0,2.580922571348669,5.937664027086322
5. Feeling my body shake/tremble,46.0,44.0,2.0,0.5227272727272727,1.1307259730879295,0.0,0.0,0.25,0.0,0.0,0.0,0.0,5.0,2.2862886897821832,4.741768222188911
7. Experience of fear,46.0,44.0,2.0,0.4318181818181818,0.9250449963343023,0.0,0.0,0.2222222222222222,0.0,1.0,1.0,0.0,5.0,3.14398803394941,11.805526634952972
6. Feelings of grief,46.0,44.0,2.0,0.4090909090909091,1.1874965227499996,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,5.0,2.8738830213900375,6.850414373023382
13. I was afraid that the state I was in would last forever,46.0,44.0,2.0,0.4090909090909091,1.0414252715363226,0.0,0.0,0.1388888888888889,0.0,0.0,0.0,0.0,5.0,3.1189767784299662,9.641735918744228
26. I felt frightened,46.0,44.0,2.0,0.38636363636363635,0.9204627019188114,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,5.0,3.325237138060642,12.747400090830936
18. Pressure or weight in my chest or abdomen,46.0,44.0,2.0,0.3409090909090909,0.9386576714124698,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,5.0,3.541634471523107,13.252787714802569
21. Panic,46.0,43.0,3.0,0.32558139534883723,0.9441784091034143,0.0,0.0,0.08571428571428572,0.0,0.0,0.0,0.0,5.0,3.604777461814164,13.492216349677857
25. Emotional and/or physical suffering,46.0,44.0,2.0,0.3181818181818182,1.051526626026716,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,5.0,3.4638765046221263,10.951474980715025
11. Feelings of despair,46.0,43.0,3.0,0.3023255813953488,0.8600909066275171,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,4.0,3.015199980031182,8.461369177812037
17. I felt my heart beating irregularly or skipping beats,46.0,44.0,2.0,0.29545454545454547,0.8512520315051524,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,5.0,4.204511653697604,19.662049295583568
4. I had the feeling something horrible would happen,46.0,44.0,2.0,0.29545454545454547,1.0018481863952788,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,5.0,3.7340442923326806,13.23812898948228
12. I had the feeling that people were plotting against me,46.0,44.0,2.0,0.2727272727272727,0.8986717941815606,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,4.0,3.523114448581756,11.43639154628437
8. Fear that I might lose my mind or go insane,46.0,44.0,2.0,0.2727272727272727,0.8986717941815607,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,5.0,4.106549916116052,17.28721800389243
19. I experienced a decreased sense of sanity,46.0,44.0,2.0,0.25,0.8387421368293256,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,5.0,4.530145656548548,21.996994740796392
20. I felt as if I was dead or dying,46.0,43.0,3.0,0.20930232558139536,0.8326131993647276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.855093219383428,24.28223723831007
16. I had the profound experience of my own death,46.0,44.0,2.0,0.20454545454545456,0.8781467127129874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.595183922946355,20.625126075724815
2. Sadness,46.0,44.0,2.0,0.18181818181818182,0.5401432743921153,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,2.0,2.820249897557244,6.427851291745428
22. Experience of antagonism toward people around me,46.0,44.0,2.0,0.18181818181818182,0.5816067269023053,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,3.0,3.563491638302241,12.679374999999993
23. Despair,46.0,44.0,2.0,0.18181818181818182,0.755529300763972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.273588349916851,17.16427983539095
9. I felt like crying,46.0,43.0,3.0,0.046511627906976744,0.30499714066520933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.3264373484457685,38.02380952380952
