,item_total_r
1. Isolation and loneliness,0.5396799417416791
2. Sadness,0.1594631602900528
3. Feeling my heart beating,0.5964450753101599
4. I had the feeling something horrible would happen,0.7296741765366137
5. Feeling my body shake/tremble,0.7479847158569191
6. Feelings of grief,0.7890459490858575
7. Experience of fear,0.7844893456640467
8. Fear that I might lose my mind or go insane,0.7729070729465525
9. I felt like crying,0.7993972339049776
10. Feeling of isolation from people and things,0.6194976468716206
11. Feelings of despair,0.47896065771603
12. I had the feeling that people were plotting against me,0.4173400114344688
13. I was afraid that the state I was in would last forever,0.835591562477095
14. Anxiousness,0.7765009997352799
15. I felt shaky inside,0.6780888664330756
16. I had the profound experience of my own death,0.7835479464169883
17. I felt my heart beating irregularly or skipping beats,0.755446321411277
18. Pressure or weight in my chest or abdomen,0.663991703590509
19. I experienced a decreased sense of sanity,0.8067281515018874
20. I felt as if I was dead or dying,0.8771659503904228
21. Panic,0.8730413151714288
22. Experience of antagonism toward people around me,0.303121631942553
23. Despair,0.3007678552862203
24. I felt isolated from everything and everyone,0.21446524795302316
25. Emotional and/or physical suffering,0.8094718240866191
26. I felt frightened,0.8251028404342114
