participant_id,n_items_used,n_items_total,score_mean
1,26,26,0.11538461538461539
2,26,26,0.2692307692307692
3,26,26,0.11538461538461539
4,26,26,0.23076923076923078
5,26,26,0.34615384615384615
6,26,26,0.038461538461538464
7,26,26,0.0
8,26,26,0.0
9,26,26,0.5384615384615384
10,26,26,0.8076923076923077
11,26,26,0.038461538461538464
12,26,26,0.6538461538461539
13,26,26,0.07692307692307693
14,26,26,0.038461538461538464
15,26,26,0.0
16,26,26,0.07692307692307693
17,26,26,0.0
18,26,26,0.5769230769230769
19,26,26,0.5
20,26,26,0.0
21,26,26,0.9230769230769231
22,26,26,0.038461538461538464
23,0,26,
24,26,26,1.8846153846153846
25,26,26,0.5
26,26,26,0.5
28,26,26,0.8461538461538461
29,26,26,0.38461538461538464
30,26,26,0.07692307692307693
31,26,26,0.5769230769230769
32,26,26,0.0
33,26,26,0.34615384615384615
34,26,26,0.15384615384615385
35,26,26,0.23076923076923078
36,26,26,0.07692307692307693
37,26,26,0.9230769230769231
38,26,26,0.6923076923076923
39,26,26,3.8076923076923075
40,26,26,1.1153846153846154
41,26,26,0.38461538461538464
42,26,26,0.0
43,0,26,
44,26,26,0.15384615384615385
45,26,26,0.07692307692307693
46,21,26,1.9523809523809523
48,26,26,0.3076923076923077
