item,n,n_valid,n_missing,mean,sd,median,mad,trimmed_mean_10,q1,q3,iqr,min,max,skewness,kurtosis
5. How much did the visual aspects of the environment involve you?,46.0,42.0,4.0,5.690476190476191,1.297052855197265,6.0,1.482602218505602,5.852941176470588,5.0,7.0,2.0,2.0,7.0,-1.1053341412353648,0.9901204738597968
26. How quickly did you adjust to the virtual environment experience?,46.0,40.0,6.0,5.575,1.4480313780422274,6.0,1.482602218505602,5.78125,5.0,7.0,2.0,1.0,7.0,-1.2287228149939562,1.060555780437502
27. How proficient in moving and interacting with the virtual environment did you feel at the end of the experience?,46.0,40.0,6.0,5.4,1.3737465148925718,6.0,1.482602218505602,5.5625,5.0,6.0,1.0,1.0,7.0,-1.050523937603643,1.047495274102081
23. How involved were you in the virtual environment experience?,46.0,40.0,6.0,5.35,1.5615574079941916,6.0,1.482602218505602,5.5625,4.0,7.0,3.0,1.0,7.0,-0.9245338493161609,0.30516772980127094
14. How completely were you able to actively survey or search the environment using vision?,46.0,42.0,4.0,5.071428571428571,1.8791910187677625,5.5,2.223903327758403,5.323529411764706,4.0,6.75,2.75,1.0,7.0,-0.9524567826397242,-0.07138411903048425
30. How well could you concentrate on the assigned tasks or required activities rather than on the mechanisms used to perform those tasks or activities?,46.0,40.0,6.0,5.05,1.4841038045110264,5.0,1.482602218505602,5.125,4.0,6.0,2.0,1.0,7.0,-0.42015914141116384,-0.33675619781509525
4. How completely were all of your senses engaged?,46.0,42.0,4.0,5.023809523809524,1.5220027761600148,5.0,1.482602218505602,5.088235294117647,4.0,6.0,2.0,2.0,7.0,-0.250552336285994,-1.0347413773437242
18. How compelling was your sense of moving around inside the virtual environment?,46.0,40.0,6.0,4.775,1.5930538323674166,5.0,1.482602218505602,4.9375,4.0,6.0,2.0,1.0,7.0,-0.8975338035388515,0.3526621474559808
2. How responsive was the environment to actions that you initiated (or performed)?,46.0,42.0,4.0,4.761904761904762,1.4450845837261959,5.0,1.482602218505602,4.794117647058823,4.0,6.0,2.0,1.0,7.0,-0.31311430478004393,-0.3284479974659771
1. How much were you able to control events?,46.0,42.0,4.0,4.5476190476190474,1.5334065528142578,4.0,1.482602218505602,4.617647058823529,4.0,5.0,1.0,1.0,7.0,-0.2346795298109958,-0.04070084658780715
10. How compelling was your sense of objects moving through space?,46.0,42.0,4.0,4.5476190476190474,1.4003898577805682,5.0,1.482602218505602,4.647058823529412,4.0,5.0,1.0,1.0,7.0,-0.6111572521558346,-0.05391468300647961
3. How natural did your interactions with the environment seem?,46.0,42.0,4.0,4.190476190476191,1.6709584694828155,4.0,2.223903327758403,4.176470588235294,3.0,6.0,3.0,1.0,7.0,-0.019604932665863484,-1.1223972248138852
32. Were you involved in the experimental task to the extent that you lost track of time?,46.0,40.0,6.0,4.175,2.0240540683971044,4.0,2.965204437011204,4.21875,2.75,6.0,3.25,1.0,7.0,-0.09111791551623258,-1.220042384258629
7. How natural was the mechanism which controlled movement through the environment?,46.0,42.0,4.0,4.166666666666667,1.6662601130158647,4.0,1.482602218505602,4.117647058823529,3.0,5.75,2.75,1.0,7.0,0.14881670254788198,-1.0766427504185523
13. Were you able to anticipate what would happen next in response to the actions that you performed?,46.0,42.0,4.0,4.071428571428571,2.004785216193047,4.0,2.965204437011204,4.088235294117647,2.25,6.0,3.75,1.0,7.0,-0.20933154374711913,-1.2375554018611303
19. How closely were you able to examine objects?,46.0,40.0,6.0,3.9,1.90545774835582,4.0,2.965204437011204,3.875,2.0,5.0,3.0,1.0,7.0,-0.03558307311251337,-1.161232404481471
9. How aware were you of your display and control devices?,46.0,42.0,4.0,3.880952380952381,1.3471266794032573,4.0,1.482602218505602,3.823529411764706,3.0,4.75,1.75,1.0,7.0,0.3397277755613634,0.009499238400000554
20. How well could you examine objects from multiple viewpoints?,46.0,40.0,6.0,3.8,1.8285485346552175,4.0,2.965204437011204,3.78125,2.0,5.0,3.0,1.0,7.0,0.146786914766,-1.1174300876961865
12. How much did your experiences in the virtual environment seem consistent with your real-world experiences?,46.0,42.0,4.0,3.4761904761904763,1.4183139292336886,3.0,1.482602218505602,3.4411764705882355,2.25,4.75,2.5,1.0,6.0,0.1526415485484395,-0.8264724863858679
8. How aware were you of events occurring in the real world around you?,46.0,42.0,4.0,3.3095238095238093,1.9441983141606551,3.0,2.965204437011204,3.2058823529411766,2.0,5.0,3.0,1.0,7.0,0.3421212010807991,-1.1893234277811118
31. Did you learn new techniques that enabled you to improve your performance?,46.0,40.0,6.0,3.075,1.7597712555314886,3.0,1.482602218505602,2.90625,1.0,4.0,3.0,1.0,7.0,0.4851203932558268,-0.5583620172640464
24. How distracting was the control mechanism?,46.0,40.0,6.0,2.875,1.5882178368964055,2.5,2.223903327758403,2.71875,2.0,4.0,2.0,1.0,7.0,0.8294816929625756,0.21463457163661692
11. How inconsistent or disconnected was the information coming from your various senses?,46.0,42.0,4.0,2.857142857142857,1.4909716683020648,2.0,1.482602218505602,2.7058823529411766,2.0,4.0,2.0,1.0,7.0,0.9174741530476839,0.13071805505055822
29. How much did the control devices interfere with the performance of assigned tasks or with other activities?,46.0,40.0,6.0,2.85,1.4944341180973264,3.0,1.482602218505602,2.75,2.0,4.0,2.0,1.0,7.0,0.4927336827292261,-0.30982506877429516
15. How well could you identify sounds?,46.0,42.0,4.0,2.8333333333333335,1.8988657290368292,2.0,1.482602218505602,2.6470588235294117,1.0,4.75,3.75,1.0,7.0,0.6962630588128151,-0.9224181430635925
25. How much delay did you experience between your actions and expected outcomes?,46.0,40.0,6.0,2.8,1.4710889042143458,2.0,1.482602218505602,2.6875,2.0,4.0,2.0,1.0,6.0,0.49723453441326465,-0.8075065699332904
28. How much did the visual display quality interfere or distract you from performing assigned tasks or required activities?,46.0,40.0,6.0,2.775,1.5440124218976863,2.0,1.482602218505602,2.625,2.0,4.0,2.0,1.0,7.0,0.7634193477266602,-0.07532130269183712
